,x,y,id,time
0,800,0,A001_001,800
1,792,0,A001_001,1592
2,808,0,A001_001,2400
3,804,0,A001_001,3204
4,796,0,A001_001,4000
5,784,0,A001_001,4784
6,784,0,A001_001,5568
7,788,0,A001_001,6356
8,800,0,A001_001,7156
9,800,0,A001_001,7956
10,796,0,A001_001,8752
11,808,0,A001_001,9560
12,816,0,A001_001,10376
13,824,0,A001_001,11200
14,820,0,A001_001,12020
15,824,0,A001_001,12844
16,824,0,A001_001,13668
17,820,0,A001_001,14488
18,824,0,A001_001,15312
19,820,0,A001_001,16132
20,816,0,A001_001,16948
21,808,0,A001_001,17756
22,808,0,A001_001,18564
23,796,0,A001_001,19360
24,796,0,A001_001,20156
25,804,0,A001_001,20960
26,796,0,A001_001,21756
27,796,0,A001_001,22552
28,804,0,A001_001,23356
29,804,0,A001_001,24160
30,800,0,A001_001,24960
31,796,0,A001_001,25756
32,812,0,A001_001,26568
33,816,0,A001_001,27384
34,808,0,A001_001,28192
35,804,0,A001_001,28996
36,816,0,A001_001,29812
37,796,0,A001_001,30608
38,812,0,A001_001,31420
39,828,0,A001_001,32248
40,828,0,A001_001,33076
41,824,0,A001_001,33900
42,824,0,A001_001,34724
43,816,0,A001_001,35540
44,812,0,A001_001,36352
45,820,0,A001_001,37172
46,812,0,A001_001,37984
47,816,0,A001_001,38800
48,808,0,A001_001,39608
49,812,0,A001_001,40420
50,820,0,A001_001,41240
51,816,0,A001_001,42056
52,804,0,A001_001,42860
53,808,0,A001_001,43668
54,820,0,A001_001,44488
55,812,0,A001_001,45300
56,812,0,A001_001,46112
57,808,0,A001_001,46920
58,804,0,A001_001,47724
59,792,0,A001_001,48516
60,860,0,A001_001,49376
61,820,0,A001_001,50196
62,812,0,A001_001,51008
63,804,0,A001_001,51812
64,804,0,A001_001,52616
65,792,0,A001_001,53408
66,796,0,A001_001,54204
67,740,0,A001_001,54944
68,768,0,A001_001,55712
69,752,0,A001_001,56464
70,744,0,A001_001,57208
71,716,0,A001_001,57924
72,732,0,A001_001,58656
73,732,0,A001_001,59388
74,716,0,A001_001,60104
75,724,0,A001_001,60828
76,700,0,A001_001,61528
77,700,0,A001_001,62228
78,692,0,A001_001,62920
79,692,0,A001_001,63612
80,668,0,A001_001,64280
81,688,0,A001_001,64968
82,672,0,A001_001,65640
83,684,0,A001_001,66324
84,700,0,A001_001,67024
85,692,0,A001_001,67716
86,708,0,A001_001,68424
87,708,0,A001_001,69132
88,732,0,A001_001,69864
89,720,0,A001_001,70584
90,732,0,A001_001,71316
91,748,0,A001_001,72064
92,728,0,A001_001,72792
93,724,0,A001_001,73516
94,740,0,A001_001,74256
95,748,0,A001_001,75004
96,752,0,A001_001,75756
97,760,0,A001_001,76516
98,744,0,A001_001,77260
99,748,0,A001_001,78008
100,756,0,A001_001,78764
101,740,0,A001_001,79504
102,736,0,A001_001,80240
103,736,0,A001_001,80976
104,736,0,A001_001,81712
105,740,0,A001_001,82452
106,732,0,A001_001,83184
107,732,0,A001_001,83916
108,740,0,A001_001,84656
109,732,0,A001_001,85388
110,732,0,A001_001,86120
111,740,0,A001_001,86860
112,752,0,A001_001,87612
113,744,0,A001_001,88356
114,772,0,A001_001,89128
115,764,0,A001_001,89892
116,764,0,A001_001,90656
117,756,0,A001_001,91412
118,744,0,A001_001,92156
119,740,0,A001_001,92896
120,736,0,A001_001,93632
121,744,0,A001_001,94376
122,744,0,A001_001,95120
123,748,0,A001_001,95868
124,752,0,A001_001,96620
125,744,0,A001_001,97364
126,740,0,A001_001,98104
127,736,0,A001_001,98840
128,728,0,A001_001,99568
129,720,0,A001_001,100288
130,712,0,A001_001,101000
131,704,0,A001_001,101704
132,704,0,A001_001,102408
133,684,0,A001_001,103092
134,676,0,A001_001,103768
135,676,0,A001_001,104444
136,672,0,A001_001,105116
137,672,0,A001_001,105788
138,684,0,A001_001,106472
139,684,0,A001_001,107156
140,700,0,A001_001,107856
141,712,0,A001_001,108568
142,724,0,A001_001,109292
143,740,0,A001_001,110032
144,732,0,A001_001,110764
145,744,0,A001_001,111508
146,744,0,A001_001,112252
147,752,0,A001_001,113004
148,744,0,A001_001,113748
149,740,0,A001_001,114488
150,732,0,A001_001,115220
151,728,0,A001_001,115948
152,720,0,A001_001,116668
153,716,0,A001_001,117384
154,700,0,A001_001,118084
155,712,0,A001_001,118796
156,688,0,A001_001,119484
157,704,0,A001_001,120188
158,676,0,A001_001,120864
159,720,0,A001_001,121584
160,692,0,A001_001,122276
161,720,0,A001_001,122996
162,696,0,A001_001,123692
163,752,0,A001_001,124444
164,748,0,A001_001,125192
165,752,0,A001_001,125944
166,760,0,A001_001,126704
167,768,0,A001_001,127472
168,776,0,A001_001,128248
169,776,0,A001_001,129024
170,780,0,A001_001,129804
171,792,0,A001_001,130596
172,796,0,A001_001,131392
173,784,0,A001_001,132176
174,776,0,A001_001,132952
175,764,0,A001_001,133716
176,756,0,A001_001,134472
177,744,0,A001_001,135216
178,732,0,A001_001,135948
179,736,0,A001_001,136684
180,732,0,A001_001,137416
181,716,0,A001_001,138132
182,716,0,A001_001,138848
183,708,0,A001_001,139556
184,684,0,A001_001,140240
185,692,0,A001_001,140932
186,712,0,A001_001,141644
187,684,0,A001_001,142328
188,736,0,A001_001,143064
189,728,0,A001_001,143792
190,744,0,A001_001,144536
191,776,0,A001_001,145312
192,760,0,A001_001,146072
193,756,0,A001_001,146828
194,752,0,A001_001,147580
195,768,0,A001_001,148348
196,760,0,A001_001,149108
197,772,0,A001_001,149880
198,772,0,A001_001,150652
199,768,0,A001_001,151420
200,760,0,A001_001,152180
201,756,0,A001_001,152936
202,768,0,A001_001,153704
203,756,0,A001_001,154460
204,752,0,A001_001,155212
205,820,0,A001_001,156032
206,820,0,A001_001,156852
207,812,0,A001_001,157664
208,804,0,A001_001,158468
209,788,0,A001_001,159256
210,776,0,A001_001,160032
211,772,0,A001_001,160804
212,772,0,A001_001,161576
213,756,0,A001_001,162332
214,764,0,A001_001,163096
215,748,0,A001_001,163844
216,756,0,A001_001,164600
217,764,0,A001_001,165364
218,756,0,A001_001,166120
219,760,0,A001_001,166880
220,756,0,A001_001,167636
221,772,0,A001_001,168408
222,780,0,A001_001,169188
223,796,0,A001_001,169984
224,792,0,A001_001,170776
225,800,0,A001_001,171576
226,796,0,A001_001,172372
227,800,0,A001_001,173172
228,788,0,A001_001,173960
229,784,0,A001_001,174744
230,788,0,A001_001,175532
231,772,0,A001_001,176304
232,772,0,A001_001,177076
233,772,0,A001_001,177848
234,760,0,A001_001,178608
235,772,0,A001_001,179380
236,776,0,A001_001,180156
237,784,0,A001_001,180940
238,784,0,A001_001,181724
239,788,0,A001_001,182512
240,800,0,A001_001,183312
241,792,0,A001_001,184104
242,796,0,A001_001,184900
243,796,0,A001_001,185696
244,812,0,A001_001,186508
245,828,0,A001_001,187336
246,828,0,A001_001,188164
247,828,0,A001_001,188992
248,828,0,A001_001,189820
249,820,0,A001_001,190640
250,812,0,A001_001,191452
251,808,0,A001_001,192260
252,812,0,A001_001,193072
253,816,0,A001_001,193888
254,808,0,A001_001,194696
255,808,0,A001_001,195504
256,796,0,A001_001,196300
257,804,0,A001_001,197104
258,804,0,A001_001,197908
259,800,0,A001_001,198708
260,784,0,A001_001,199492
261,808,0,A001_001,200300
262,812,0,A001_001,201112
263,820,0,A001_001,201932
264,816,0,A001_001,202748
